sky,correct,wrong,total
甲,0,0,0
乙,0,0,0
丙,0,0,0
丁,0,0,0
戊,0,0,0
己,0,0,0
庚,0,0,0
辛,0,0,0
壬,0,0,0
癸,0,0,0
